time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
1.115573,-0.947616631716,-0.0625097171063,-0.0490873852123,1.59764099058,-0.333640821365,-0.156466040364,0.0682621450609,0.0,0.804189428049,-0.15071361241,-0.0176407790607,1.7345487759,-0.131155357364,-0.235082555743,0.0164902934698,100.0
1.115694,-0.947616631716,-0.0625097171063,-0.0490873852123,1.59764099058,-0.333640821365,-0.156466040364,0.0682621450609,0.0,0.804189428049,-0.15071361241,-0.0176407790607,1.7345487759,-0.131155357364,-0.235082555743,0.0164902934698,100.0
1.125810,-0.947616631716,-0.0621262219094,-0.0479368996214,1.59764099058,-0.333257326168,-0.156466040364,0.0686456402579,0.0,0.804572923246,-0.152631088395,-0.0164902934698,1.73378178551,-0.132305842955,-0.238534012516,0.0168737886667,100.0
1.135792,-0.947616631716,-0.0621262219094,-0.0479368996214,1.59764099058,-0.333257326168,-0.156466040364,0.0686456402579,0.0,0.804572923246,-0.152631088395,-0.0164902934698,1.73378178551,-0.132305842955,-0.238534012516,0.0168737886667,100.0
1.145767,-0.947616631716,-0.0628932123033,-0.0483203948184,1.59687400019,-0.333257326168,-0.156849535561,0.0682621450609,0.0,0.803038942458,-0.152631088395,-0.0176407790607,1.73378178551,-0.132689338152,-0.240451488501,0.0168737886667,100.0
1.155764,-0.947233136519,-0.0625097171063,-0.0483203948184,1.59687400019,-0.334024316562,-0.15569904997,0.0682621450609,0.0,0.804572923246,-0.153781573986,-0.0172572838637,1.73339829031,-0.133839823743,-0.243902945274,0.0172572838637,100.0
1.165758,-0.947616631716,-0.0628932123033,-0.0490873852123,1.59725749539,-0.333640821365,-0.156849535561,0.0678786498639,0.0,0.804189428049,-0.154932059576,-0.0176407790607,1.73339829031,-0.134606814137,-0.247737897243,0.0164902934698,100.0
1.175766,-0.947616631716,-0.0628932123033,-0.0483203948184,1.59687400019,-0.334407811759,-0.156466040364,0.0682621450609,0.0,0.804956418443,-0.15569904997,-0.0184077694546,1.73378178551,-0.135373804531,-0.25195634441,0.0164902934698,100.0
1.185838,-0.947233136519,-0.0628932123033,-0.0487038900154,1.59687400019,-0.333257326168,-0.156466040364,0.0678786498639,0.0,0.803805932852,-0.157233030758,-0.0168737886667,1.73378178551,-0.135373804531,-0.256558286774,0.0149563126819,100.0
1.195788,-0.947616631716,-0.0628932123033,-0.0483203948184,1.59764099058,-0.334407811759,-0.15569904997,0.0682621450609,0.0,0.804189428049,-0.158383516349,-0.0172572838637,1.7341652807,-0.136140794925,-0.260393238744,0.013038836697,100.0
1.205765,-0.947233136519,-0.0625097171063,-0.0479368996214,1.59725749539,-0.333257326168,-0.156466040364,0.0682621450609,0.0,0.804572923246,-0.159917497137,-0.0176407790607,1.7345487759,-0.136907785319,-0.265762171501,0.0122718463031,100.0
1.215764,-0.948000126913,-0.0617427267124,-0.0483203948184,1.59687400019,-0.333640821365,-0.155315554773,0.0682621450609,0.0,0.804189428049,-0.162985458713,-0.0168737886667,1.7345487759,-0.136907785319,-0.275349551425,0.00958737992428,100.0
1.225795,-0.948000126913,-0.0625097171063,-0.0479368996214,1.59649050499,-0.333640821365,-0.156082545167,0.0682621450609,0.0,0.803422437655,-0.164902934698,-0.0172572838637,1.73569926149,-0.137291280516,-0.28110197938,0.0080533991364,100.0
1.235771,-0.948000126913,-0.0625097171063,-0.0479368996214,1.59649050499,-0.333640821365,-0.156082545167,0.0682621450609,0.0,0.803422437655,-0.164902934698,-0.0172572838637,1.73569926149,-0.137291280516,-0.28110197938,0.0080533991364,100.0
1.245765,-0.94838362211,-0.0628932123033,-0.0479368996214,1.59687400019,-0.333640821365,-0.156082545167,0.0682621450609,0.0,0.804189428049,-0.166053420289,-0.0172572838637,1.7353157663,-0.137674775713,-0.286854407335,0.0080533991364,100.0
